journey,stage,team,description
order allocation,allocation delay,Marketplace,"this is a delay in when a partner is eligible to accept the order. once a partner receives an order notification on their device, all partners get to read it for 5 seconds. During these 5 seconds, no partner can accept it. 

After those 5 seconds elapse, whether or not a partner can accept it depends on the delay status of the partner. If the partner has a delay (also referred to as seconds delay, timer, missed order delay), that means that the partner has to wait for the delay duration to accept the order., and the order can be picked up by some other partner not having the delay. a partner may have a delay due to the following reasons
- Prime status - there is a programme called Prime, if partners are Prime they get no delay, but if they are non-Prime they get a 10-sec delay. Whether a partner is Prime or non-Prime is determined by their acceptance score and login hours of the previous period. the previous period can be a day or a week depending on the city and vehicle category. so the partner can be Prime one week and non-Prime next week depending on how they performed
- Missed order delay - This is a 20-sec delay which is applied for a given duration if a partner misses more than 2 consecutive orders. But this delay goes away if they complete even one order. For example, a partner misses 3 orders and gets a 20 sec penalty at 1 PM for 1 hour. But at 1.10, despite the 20 sec delay in picking, they're able to pick the order as no other partner picked it, then there will be no penalty after completion of that order. but if they miss 2 more orders after completing it, they will again face the delay

A missed order delay has precedence over Prime delay. If a Prime partner misses more than 2 orders, they will get a 20 sec delay irrespective of their Prime status. So these levels exist in picking up order
- Prime partner who hasn't missed more than 2 consecutive orders - no delay
- Prime partner who has missed more than 2 consecutive orders at that time - 20 sec delay
- Non-Prime partner who hasn't missed more than 2 consecutive orders - 10 sec delay"
order acceptance,accept order,Marketplace,"to accept an order, the partner has to click on the screen when they're eligible - that is after the mandatory reading time and serving any delays they've had. if an order has been picked before they're eligible to pick the order, the order notification should ideally disappear

there are instances where multiple partners click at the same time, but an order should only ideally be assigned to 1 partner. the other partners see that some other partner has picked the order

this system also relies on internet connectivity and speed - the speed at which the Porter system receives a confirmation that a partner has selected an order is used for assignment. if the connectivity is low or some other things aren't working properly, it will either result in errors or the screen will keep loading"
order acceptance,order assigned,Marketplace,"if an order is assigned successfully, partners should ideally see the pickup details. a pin on a Porter-supplied map, address, and a navigate icon. They also can access pick address, drop address, fare breakup, payment breakup (cash, Porter wallet), how much they will earn from this screen through a side navigation. Additionally, there is a call customer option they can use to call

there have been claims of partners successfully picking up but the screen not showing pickup details, but such cases need to be validated, and till that point are just claims"
order execution,go to pickup,LFC,"they use the Google map provided map after clicking on the navigation to navigate to the pinned location. this pinned location is the one provided by the customer. they can see the ETA and distance to the pickup location on Google maps

partners sometimes call up customers too if they're having difficulty finding the place or navigating to the place. often partners aren't able to  reach the right place (due to whatever reason) or customers aren't able to provide the pin they wanted to (for whatever reason)"
order execution,coordinate loading,LFC,"once partners reach the correct pickup location, they contact the relevant person at pickup or the customer to inform they've arrived at the pickup. if asked to wait they inform them that they're marking as ""arrived"" on the app. marking as ""arrived"" starts the waiting time but partners can only mark arrived after informing the customer that they've arrived

this is a potential gray area though - be mindful as multiple things might be happening here and these are only claims unless they can be validated. the things that may happen (anecdotal sources) is that customer doesn't give them permission, partner is not aware that they have to mark arrived etc. there might be cases where customers aren't even picking their calls once they reach pickup

the waiting time policy itself provides x mins of free waiting time in total (sum of waiting time at pick or drop), and only charges Rs. k/min if total waiting time is more than x mins"
order execution,edit order,LFC,"customers can edit orders, but partners can't edit any orders from their end

if customer wants to add multiple stops, there is a waypoint feature they need to click on in their app, after which the partner will know they need to stop at all the places the customer wants them to, and they will be compensated (whether or not it will be accurate is different)

if they want to change pick or drop location, they can edit the location

even if location is not edited, there is a service which checks how much extra a partner has travelled and triggers a fare update if it is more than x metres. This system may or may not trigger, but there is a system in place

please note that this is a gray area - and all things are claims before they're validated. a lot of customers do this off the platform on Whatsapp and don't edit orders on app (for whatever reason, including that there is sometimes no option), and Porter customer care also requests partners to cater to off-platform requests. "
order execution,start trip,LFC,"once the loading is done, the partner swipes start trip and receives information on the drop location - a pin on a Porter-supplied map, address, and a navigate icon. they also have access through the side navigation to pick address, drop address, call customer, fare, and also if the trip has waypoints (if the customer adds it)"
order execution,coordinate drop location,LFC,"the partner moves towards the drop location. may contact the customer or the relevant person at the drop if they face difficulties locating the precise drop address

there may be changes that the customer may request to the drop location, but again these are claims, and need to be handled accordingly. Refer to the stage 'edit order' for more info on what needs to happen in that situation"
order execution,coordinate unloading,LFC,"similar to the pickup location, they need to mark ""arrived"" here too to start their waiting time"
order execution,cancel order,LFC,"there are both partner-initiated and customer-initiated cancellations

customer-initiated cancellations before trip has been started can be done by the customer from their app. if this happens after partner has travelled x kms, and/or spend x minutes on the order and the reason is customer-related (customers have to select a reason from a list) - they're entitled to compensation, whether or not it is uniformly applied requires investigation. if the reason is partner-attributed (such as partner not moving etc.), then they don't receive any compensation
customer-initiated cancellations after the trip has been start can happen, and the partner is paid part of the fare or the full fare (which the customer has to pay) and the partner has to give goods back
partner-initiated cancellations before pickup can happen, but if partners do this, they're suspended for 2 hours and/or have to give a monetary penalty before suspension can be remove

this is a gray area, and needs to be handled with care as a lot of it depends on the claims made by either of the parties, and there is no real-time validation done when claims are accepted/rejection"
post trip,trip fare calculation,Marketplace,"once the unloading is done, the partner marks it as ""trip completed"". once the trip is completed, the fare is ideally supposed to be calculated after accounting for the waypoints, waiting time, additional distance travelled (if any of them need to be included) and a final amount to be collected is shown on app

the amount to be collected can be different from the fare as it only represents amount that partner has to collect in cash from the customer. if some of the payment is through Porter wallet, then the fare will be lower than that amount

Please note that this is a gray area with lots of claims made by partners and customers on whether any additional time was spent or distance was travelled. Furthermore, there are claims that system has not accounted, captured, or calculated these accurately. These are claims and need to be validated with actual data"
post trip,payment collection,LFC,"if there is an amount to be collected, the partner needs to collect it from the relevant person

there is often some variation on who will pay - sometimes it is clear that the receiver will pay, or the sender/customer will pay; but sometimes there is confusion too - and the partner has to collect the payment and do all the coordination

anecdotally there are cases where customer also refuses to pay or is non-responsive - this happens if the partner has delivered the package and the customer said they'll pay in 5 minutes or that someone else in pay, but the relevant person cant be contacted or is stalling the payment by saying they will pay in some time. if the partner is unable to collect payment and reaches out to support, support will mediate and try to contact customer. if customer is still non-responsive/ cant be contacted, then there are 2 cases - if customer is old, then Porter will directly pay partner to their wallet; and if customer is new, Porter will say its the responsibility of partner to collect payment

this is also a gray area, because there are claims and multiple parties involved with chains becoming complex"
support,contact support,TNS,"partners can seek support through an entry-point in the app. they're led to a menu of languages, and thereafter a menu of options that describe their issue

there are some issues which lead to next steps that the partner is supposed to do, or information. and for some issues, a request for callback is registered and the customer support team calls the partner back to resolve the issue

there is no way to directly reach customer support for partners in most ususal cases"
edit basic details,edit details,LFC,"there is an entry point within the profile section, where the partner can input basic details to change details of the bank account. the constraint is that the bank account should have the name of the owner"
service level agreements,suspension,LFC,"suspensions are restrictions where the partner can't go online and receive orders anymore. the go online button itself doesn't come on the app, and is instead replaced by a suspension message

suspensions can be of 2 types
- definite period suspensions - this is a suspension which is applied for a limited period, and suspension will be removed post that. the date and time of removal is given
- indefinite suspensions - these are suspensions with no end date, and any resolution on this can only be sought by directly getting in touch with city ops teams and is handled on a case by case basis

suspensions can be due to various reasons, below are given some reasons, but they're not exhaustive. a specific trail of which order resulted in suspension is not provided, only the broad reason (as defined below) is provided
- bad driver behaviour - includes asking for extra money, bad behaviour with customer or Porter representatives
- accepted but refused to go - triggered if the partner does more than x order cancellations in k days (either themselves or customers reporting partner attributed)
- low wallet balance - this is if the wallet goes below a particular amount. there is a Rs. x min to be kept in the wallet to keep the account active. Recharging removes this suspension"
payments,wallet,Marketplace,"wallet is a digital ledger, where the partner can add money from any payment instrument, and withdraw money from to their registered bank account

money addition - since orders can be paid by in cash directly to partners, Porter needs to collect its take rate. The take rate goes a debit to the ledger. the partner needs to keep a minimum of Rs. X at all times so that Porter can deduct it. If it goes under that, the partner is suspended and has to recharge the wallet

money withdrawal - since orders can be paid through Porter wallet, the partner needs to withdraw this amount to their account. partners can withdraw the entire amount with a constraint of keeping a min of Rs. Y"
support,communications,TNS,"there are various touchpoints on the partner app which provide communication to the partner
- notififications - provide information on compensation status if an order gets cancelled, any incentives running in the city, any changes to take rate or pricing structure
- noticeboard - this is like an announcement section. new features, incentives, seasonal surges are put here by Porter to communicate to the partner
- in-app banner - not used very frequently, but similar to noticeboard"
performance,Prime,LFC,"this is a programme which is either daily, weekly, monthly depending on the city and category

this has 2 score
- completion score/ acceptance score - how many order notifications a partner accepts out of total notifications received
- login hours - number of hours logged in between 10 AM to 8 PM in a day

there are period-wise thresholds, and partners satisfying both score and login hour thresolds are classified Prime, while those below are non-Prime. This has an impact on order acceptance delay as defined above"
performace,cancellation score,LFC,this is a  linear scale displaying cancellation %. it has levels with the level at which partner will be suspended shown clearly
